Graphic Packaging Holding,ORG
Greif,ORG
Allegheny Technologies,ORG
Securian Financial Group,ORG
B/E Aerospace,ORG
Exelis,ORG
Adobe Systems,ORG
Molson Coors Brewing,ORG
Roundy's,ORG
CNO Financial Group,ORG
Adams Resources & Energy,ORG
Belk,ORG
Chipotle Mexican Grill,ORG
American Tower,ORG
FMC,ORG
Hillshire Brands,ORG
AmTrust Financial Services,ORG
Brunswick,ORG
Patterson,ORG
Southwestern Energy,ORG
Ametek,ORG
T. Rowe Price,ORG
Torchmark,ORG
Darling Ingredients,ORG
Leggett & Platt,ORG
Watsco,ORG
Crestwood Equity Partners,ORG
Xylem,ORG
Silgan Holdings,ORG
Toll Brothers,ORG
Manitowoc,ORG
Science Applications International,ORG
Carlyle Group,ORG
Timken,ORG
Genesis Energy,ORG
WPX Energy,ORG
CareFusion,ORG
Pitney Bowes,ORG
Ingles Markets,ORG
PolyOne,ORG
Brookdale Senior Living,ORG
CommScope Holding,ORG
Meritor,ORG
Joy Global,ORG
Unified Grocers,ORG
Triumph Group,ORG
Magellan Health,ORG
Sally Beauty Holdings,ORG
Flowers Foods,ORG
Abercrombie & Fitch,ORG
New Jersey Resources,ORG
Fastenal,ORG
NII Holdings,ORG
Consol Energy,ORG
USG,ORG
Brink's,ORG
Helmerich & Payne,ORG
Lexmark International,ORG
American Axle & Manufacturing,ORG
Crown Castle International,ORG
Targa Energy,ORG
Oceaneering International,ORG
Cabot,ORG
CIT Group,ORG
Cabela's,ORG
Forest Laboratories,ORG
DCP Midstream Partners,ORG
Ryerson Holding,ORG
QEP Resources,ORG
Thor Industries,ORG
HSN,ORG
Graham Holdings,ORG
Electronic Arts,ORG
Boise Cascade,ORG
Hub Group,ORG
CACI International,ORG
Roper Technologies,ORG
Towers Watson,ORG
Smart & Final Stores,ORG
Big Heart Pet Brands,ORG
Fossil Group,ORG
Nasdaq OMX Group,ORG
Country Financial,ORG
Snap-on,ORG
Pinnacle West Capital,ORG
EchoStar,ORG
Systemax,ORG
WhiteWave Foods,ORG
CUNA Mutual Group,ORG
Cooper Tire & Rubber,ORG
ADT,ORG
Cerner,ORG
Clean Harbors,ORG
First Solar,ORG
Lennox International,ORG
Enable Midstream Partners,ORG
Hubbell,ORG
Unisys,ORG
Alliant Energy,ORG
Welltower,ORG
Moody's,ORG
C.R. Bard,ORG
Urban Outfitters,ORG
Church & Dwight,ORG
American Eagle Outfitters,ORG
Oaktree Capital Group,ORG
Regal Beloit,ORG
Tailored Brands,ORG
Cooper-Standard Holdings,ORG
W.R. Grace,ORG
Ulta Salon Cosmetics & Fragrance,ORG
Hawaiian Electric Industries,ORG
SkyWest,ORG
Green Plains,ORG
LVB Acquisition,ORG
NBTY,ORG
Carlisle,ORG
United Refining,ORG
Tesla Motors,ORG
Groupon,ORG
Landstar System,ORG
Patterson-UTI Energy,ORG
EP Energy,ORG
ON Semiconductor,ORG
Rent-A-Center,ORG
SunGard Data Systems,ORG
Citrix Systems,ORG
Amkor Technology,ORG
TD Ameritrade Holding,ORG
Worthington Industries,ORG
Valmont Industries,ORG
Iron Mountain,ORG
Puget Energy,ORG
CME Group,ORG
IAC/InterActiveCorp,ORG
Par Pacific Holdings,ORG
Taylor Morrison Home,ORG
Chiquita Brands International,ORG
International Flavors & Fragrances,ORG
Whiting Petroleum,ORG
Under Armour,ORG
Ventas,ORG
NuStar Energy,ORG
Select Medical Holdings,ORG
Diebold,ORG
American National Insurance,ORG
Varian Medical Systems,ORG
Apollo Education Group,ORG
Westinghouse Air Brake Technologies,ORG
SunPower,ORG
Warner Music Group,ORG
American Water Works,ORG
H&R Block,ORG
Mercury General,ORG
TECO Energy,ORG
Service Corp. International,ORG
Vulcan Materials,ORG
Brown-Forman,ORG
Regal Entertainment Group,ORG
Tempur Sealy International,ORG
Steelcase,ORG
MWI Veterinary Supply,ORG
RS Legacy,ORG
Sprouts Farmers Market,ORG
Sabre,ORG
Martin Marietta Materials,ORG
Huntington Bancshares,ORG
Alere,ORG
TreeHouse Foods,ORG
Arch Coal,ORG
KLA-Tencor,ORG
Crane,ORG
Iasis Healthcare,ORG
BWX Technologies,ORG
Dentsply Sirona,ORG
Tribune Media,ORG
ScanSource,ORG
Univision Communications,ORG
Brinker International,ORG
Archrock,ORG
Carter's,ORG
Analog Devices,ORG
Genesco,ORG
Scotts Miracle-Gro,ORG
Convergys,ORG
Exide Technologies,ORG
WABCO Holdings,ORG
Kennametal,ORG
Amerco,ORG
Bon-Ton Stores,ORG
Team Health Holdings,ORG
Regeneron Pharmaceuticals,ORG
OneMain Holdings,ORG
Lincoln Electric Holdings,ORG
Dresser-Rand Group,ORG
West,ORG
Benchmark Electronics,ORG
Pall,ORG
Old Dominion Freight Line,ORG
MSC Industrial Direct,ORG
Sentry Insurance Group,ORG
Sigma-Aldrich,ORG
WGL Holdings,ORG
Weis Markets,ORG
Sanderson Farms,ORG
StanCorp Financial Group,ORG
Hyster-Yale Materials Handling,ORG
Wolverine World Wide,ORG
DST Systems,ORG
Legg Mason,ORG
Teradata,ORG
Aaron's,ORG
Antero Resources,ORG
Metaldyne Performance Group,ORG
Range Resources,ORG
Vornado Realty Trust,ORG
Boyd Gaming,ORG
Covance,ORG
Armstrong World Industries,ORG
Cracker Barrel Old Country Store,ORG
Chico's FAS,ORG
Scripps Networks Interactive,ORG
Universal Forest Products,ORG
Concho Resources,ORG
ITT,ORG
HCC Insurance Holdings,ORG
Moog,ORG
IMS Health Holdings,ORG
Cinemark Holdings,ORG
Comerica,ORG
Equity Residential,ORG
Ryland Group,ORG
GNC Holdings,ORG
ArcBest,ORG
Vectren,ORG
Curtiss-Wright,ORG
Tupperware Brands,ORG
Westar Energy,ORG
Albemarle,ORG
AptarGroup,ORG
Pinnacle Foods,ORG
Penn National Gaming,ORG
J.Crew Group,ORG
Vantiv,ORG
Kansas City Southern,ORG
Caleres,ORG
Nu Skin Enterprises,ORG
Great Plains Energy,ORG
Kirby,ORG
General Growth Properties,ORG
Broadridge Financial Solutions,ORG
Stericycle,ORG
Global Payments,ORG
Nortek,ORG
Schnitzer Steel Industries,ORG
Universal,ORG
ANN,ORG
Hologic,ORG
Panera Bread,ORG
AOL,ORG
SM Energy,ORG
Paychex,ORG
PriceSmart,ORG
Autodesk,ORG
Affiliated Managers Group,ORG
Tops Holding,ORG
Dynegy,ORG
DSW,ORG
Vishay Intertechnology,ORG
Mettler-Toledo International,ORG
SunEdison,ORG
Tetra Tech,ORG
Momentive Performance Materials,ORG
EnerSys,ORG
Donaldson,ORG
EQT,ORG
Monster Beverage,ORG
PC Connection,ORG
Total System Services,ORG
ServiceMaster Global Holdings,ORG
Medical Mutual of Ohio,ORG
Applied Industrial Technologies,ORG
Maxim Integrated Products,ORG
OGE Energy,ORG
A. Schulman,ORG
Equinix,ORG
Mednax,ORG
Equifax,ORG
CalAtlantic Group,ORG
Denbury Resources,ORG
Cimarex Energy,ORG
Mutual of America Life Insurance,ORG
Guess,ORG
Post Holdings,ORG
HealthSouth,ORG
Ferrellgas Partners,ORG
KB Home,ORG
Boston Properties,ORG
Trimble Navigation,ORG
Teledyne Technologies,ORG
Acuity Brands,ORG
Skechers U.S.A.,ORG
Xilinx,ORG
Plexus,ORG
Newfield Exploration,ORG
TransDigm Group,ORG
Kar Auction Services,ORG
Mueller Industries,ORG
Zions Bancorp.,ORG
Insperity,ORG
XPO Logistics,ORG
Sears Hometown & Outlet Stores,ORG
A.O. Smith,ORG
Alliance One International,ORG
Take-Two Interactive Software,ORG
hhgregg,ORG
RPC,ORG
NewMarket,ORG
Beacon Roofing Supply,ORG
Edwards Lifesciences,ORG
Triple-S Management,ORG
Hawaiian Holdings,ORG
Heartland Payment Systems,ORG
Belden,ORG
Magellan Midstream Partners,ORG
Outerwall,ORG
KapStone Paper & Packaging,ORG
Alliance Holdings,ORG
Skyworks Solutions,ORG
Ciena,ORG
Granite Construction,ORG
Education Management,ORG
Party City Holdings,ORG
HCP,ORG
Parexel International,ORG
Delta Tucker Holdings,ORG
Pinnacle Entertainment,ORG
Stifel Financial,ORG
Pool,ORG
Olin,ORG
Knights of Columbus,ORG
PerkinElmer,ORG
Alexion Pharmaceuticals,ORG
IHS,ORG
Oil States International,ORG
HNI,ORG
LinkedIn,ORG
Diplomat Pharmacy,ORG
Brocade Communications Systems,ORG
Greenbrier Cos.,ORG
AMC Networks,ORG
Kemper,ORG
Ocwen Financial,ORG
Public Storage,ORG
TriNet Group,ORG
Chemtura,ORG
Symetra Financial,ORG
Tower International,ORG
Meritage Homes,ORG
MarkWest Energy Partners,ORG
Bio-Rad Laboratories,ORG
TrueBlue,ORG
Cabot Oil & Gas,ORG
Carpenter Technology,ORG
Toro,ORG
American Equity Investment Life Holding,ORG
Express,ORG
Eastman Kodak,ORG
Hain Celestial Group,ORG
Nationstar Mortgage Holdings,ORG
IDEX,ORG
Popular,ORG
Werner Enterprises,ORG
Esterline Technologies,ORG
Intuitive Surgical,ORG
Allison Transmission Holdings,ORG
SemGroup,ORG
Southwest Gas,ORG
G-III Apparel Group,ORG
National Fuel Gas,ORG
H.B. Fuller,ORG
Penn Mutual Life Insurance,ORG
RCS Capital,ORG
Columbia Sportswear,ORG
Amica Mutual Insurance,ORG
Primoris Services,ORG
Energen,ORG
